data_hora,autoriza_coleta,faixa_etaria,genero,escolaridade,area_conhecimento,regiao_df,trajeto,habilidade_tecnologia,frequencia_moovit,motivo_locomocao,tipo_transporte_moovit,tipo_informacao_importante_moovit,teve_problema_cronometragem_moovit,problema_precisao_grade_horaria_moovit,aplicacao_atende_necessidades,recomendou_moovit,nielsen_1_visibilidade_status,O aplicativo Moovit exibe informações claras sobre a disponibilidade e o tempo de espera dos meios de transporte público?,nielsen_7_eficiencia_eficacia,nielsen_2_correspondencia_mundo_real,nielsen_3_controle_liberdade,nielsen_7_eficiencia_flexibilidade,nielsen_4_consistencia_padronizacao,nielsen_6_reconhecimento,nielsen_5_prevencao,nielsen_6_reconhecimento,O Moovit fornece opções para personalizar as configurações e as rotas com base nas preferências do usuário?,Você consegue encontrar rotas que você utiliza com mais frequência com maior facilidade?,Como você classificaria o visual do Moovit?,"Quão rápido você consegue reconhecer, entender e resolver um problema no aplicativo?",Quão rápido você consegue encontrar uma ajuda ou documentação do aplicativo?,Você já perdeu o horário ou se atrasou por não entender as informações do aplicativo?,
14/06/2023 18:56:29,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Riacho Fundo,Riacho Fundo -> Taguatinga -> Gama,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Sim,Talvez,Não,Talvez,Não,Não,Sim,Talvez,Não,Não,Não,4,5,4,4,Não,
14/06/2023 18:58:48,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,Riacho Fundo II,"Riacho Fundo II <-> Gama Riacho Fundo II <-> Taguatinga Riacho Fundo II <-> Asa Sul Asa Sul <-> Gama",1,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Não,Talvez,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Talvez,Não,Não,Não,2,4,4,2,Não,O aplicativo costuma deixar de mostrar em tempo real um ônibus quando ele sai da rota programada. Às vezes só aconteceu um desvio e o ônibus que estava verde simplesmente some do app
14/06/2023 18:59:49,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,Ciências Humanas,Santa Maria,Santa maria -> plano -> UnB <->,4,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Talvez,Talvez,Não,Sim,Não,Não,Sim,Sim,Talvez,Talvez,Não,4,4,2,2,Não,Muita publicidade. Poderia mostrar a rota do ônibus de graça
14/06/2023 19:05:58,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,Engenharias,Taguatinga,"gama -> Setor O, plano piloto -> Setor O",1,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Talvez,Não,Sim,3,2,3,3,Sim,
14/06/2023 19:09:15,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,"Linguística, Letras e Artes",Taguatinga,Taguatinga Centro -> Asa Norte; Taguatinga Centro -> Vicente Pires; Taguatinga Centro -> Taguatinga Norte,1,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Sim,Talvez,Sim,Sim,Não,Não,Talvez,Não,Não,Sim,Talvez,3,1,3,3,Não,"O design é bem ruim mesmo. Há muitas informações juntas, é difícil de identificar o que é o quê. Frequentemente confundo o tempo de chegada dos ônibus com o horário em que chegarei no meu destino, por exemplo."
14/06/2023 19:10:52,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Samambaia,"Samambaia<-> gama<-> águas claras <-> Taguatinga", 1,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,5,3,4,3,Não,
14/06/2023 19:17:51,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Não resido no Distrito Federal,Santo Antônio <-> BR-060 <-> UnB-Gama,1,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Talvez,Sim,Não,Talvez,Não,4,3,4,2,Não,
14/06/2023 19:18:03,Concordo.,Entre 23 e 26 anos,Feminino,Superior Incompleto,Engenharias,Vicente Pires,Vicente Pires <-> Taguatinga <-> Gama <-> Plano <-> Guará,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Talvez,Não,Não,Sim,2,3,5,2,Não,
14/06/2023 19:19:39,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,Gama,Apenas no Gama,5,Diariamente,Estudo,Ônibus,Rotas mais rápidas,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,5,4,4,3,Sim,"Tenho muita facilidade com o Moovit hoje, mas quando comecei a usa-lo em 2018 tive bastante dificuldade, e só consegui entender as funcionalidades dele ao ver outras pessoas usando"
14/06/2023 19:19:48,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Samambaia,samambaia <->gama,1,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Talvez,Não,Talvez,Sim,Não,Talvez,Sim,Não,Talvez,Sim,3,3,3,2,Sim,é mais ajustar o tempo certo dos baús e rotas mais precisas baseado na preferência do usuário
